カード1,カード2,カード3,カード1属性,カード2属性,カード3属性
1,2,3,"三角,1,赤,中白","ハート,3,赤,中白","丸,2,赤,中白"
1,3,2,"三角,1,赤,中白","丸,2,赤,中白","ハート,3,赤,中白"
1,4,7,"三角,1,赤,中白","丸,3,赤,中白","ハート,2,赤,中白"
1,5,9,"三角,1,赤,中白","三角,2,赤,中白","三角,3,赤,中白"
1,6,8,"三角,1,赤,中白","ハート,1,赤,中白","丸,1,赤,中白"
1,7,4,"三角,1,赤,中白","ハート,2,赤,中白","丸,3,赤,中白"
1,8,6,"三角,1,赤,中白","丸,1,赤,中白","ハート,1,赤,中白"
1,9,5,"三角,1,赤,中白","三角,3,赤,中白","三角,2,赤,中白"
1,10,73,"三角,1,赤,中白","三角,1,赤,中同色","三角,1,赤,中無"
1,11,75,"三角,1,赤,中白","ハート,3,赤,中同色","丸,2,赤,中無"
1,12,74,"三角,1,赤,中白","丸,2,赤,中同色","ハート,3,赤,中無"
1,13,79,"三角,1,赤,中白","丸,3,赤,中同色","ハート,2,赤,中無"
1,14,81,"三角,1,赤,中白","三角,2,赤,中同色","三角,3,赤,中無"
1,15,80,"三角,1,赤,中白","ハート,1,赤,中同色","丸,1,赤,中無"
1,16,76,"三角,1,赤,中白","ハート,2,赤,中同色","丸,3,赤,中無"
1,17,78,"三角,1,赤,中白","丸,1,赤,中同色","ハート,1,赤,中無"
1,18,77,"三角,1,赤,中白","三角,3,赤,中同色","三角,2,赤,中無"
1,19,64,"三角,1,赤,中白","三角,1,緑,中無","三角,1,紫,中同色"
1,20,66,"三角,1,赤,中白","ハート,3,緑,中無","丸,2,紫,中同色"
1,21,65,"三角,1,赤,中白","丸,2,緑,中無","ハート,3,紫,中同色"
1,22,70,"三角,1,赤,中白","丸,3,緑,中無","ハート,2,紫,中同色"
1,23,72,"三角,1,赤,中白","三角,2,緑,中無","三角,3,紫,中同色"
1,24,71,"三角,1,赤,中白","ハート,1,緑,中無","丸,1,紫,中同色"
1,25,67,"三角,1,赤,中白","ハート,2,緑,中無","丸,3,紫,中同色"
1,26,69,"三角,1,赤,中白","丸,1,緑,中無","ハート,1,紫,中同色"
1,27,68,"三角,1,赤,中白","三角,3,緑,中無","三角,2,紫,中同色"
1,28,55,"三角,1,赤,中白","三角,1,緑,中白","三角,1,紫,中白"
1,29,57,"三角,1,赤,中白","ハート,3,緑,中白","丸,2,紫,中白"
1,30,56,"三角,1,赤,中白","丸,2,緑,中白","ハート,3,紫,中白"
1,31,61,"三角,1,赤,中白","丸,3,緑,中白","ハート,2,紫,中白"
1,32,63,"三角,1,赤,中白","三角,2,緑,中白","三角,3,紫,中白"
1,33,62,"三角,1,赤,中白","ハート,1,緑,中白","丸,1,紫,中白"
1,34,58,"三角,1,赤,中白","ハート,2,緑,中白","丸,3,紫,中白"
1,35,60,"三角,1,赤,中白","丸,1,緑,中白","ハート,1,紫,中白"
1,36,59,"三角,1,赤,中白","三角,3,緑,中白","三角,2,紫,中白"
1,37,46,"三角,1,赤,中白","三角,1,緑,中同色","三角,1,紫,中無"
